,COUNTY,STATE,5/17/20,POPULATION,infection_rate
570,Elmore County,Idaho,31,26433.0,0.00117277645367533
571,Franklin County,Idaho,0,13279.0,0.0
572,Fremont County,Idaho,3,12965.0,0.00023139220979560355
573,Gem County,Idaho,16,17052.0,0.0009383063570255688
574,Gooding County,Idaho,25,15169.0,0.0016480980947986023
575,Idaho County,Idaho,3,16337.0,0.0001836322458223664
576,Jefferson County,Idaho,7,27969.0,0.0002502770924952626
577,Jerome County,Idaho,95,23431.0,0.004054457769621441
578,Kootenai County,Idaho,65,153605.0,0.00042316330848605186
579,Latah County,Idaho,6,39239.0,0.00015290909554269987
580,Lemhi County,Idaho,1,7798.0,0.00012823800974608873
581,Lewis County,Idaho,0,3845.0,0.0
582,Lincoln County,Idaho,29,5321.0,0.0054501033640293175
583,Madison County,Idaho,19,38705.0,0.0004908926495284846
584,Minidoka County,Idaho,15,20615.0,0.0007276255154014067
585,Nez Perce County,Idaho,79,40155.0,0.0019673764163865024
